Ponded Water,Distance,Bulk Density,Concentration,Porosity,Hydraulic Conductivity,Dispersivity,Type-1 Sorption Fraction,Adsorption Coefficient,Type-2 Sorption Reaction Rate,Flux,Horizontal,Particle Density,Degree of Saturation,Relative Velocity,Saturation
0.0,0.08823529411764708,0.5371543786216559,0.0007501875468867217,0.31472303370395815,0.7770777152277185,0.06090934051920929,0.039719041437553455,0.006783335846511385,0.1804567724291392,0.04,0.0,0.3751544269351461,0.9999452524310941,0.9498986414769012,True
0.0,0.08823529411764708,0.09277634882818386,0.0,0.4507002603078738,0.9186740898050237,0.3029721088782826,0.3171131613523181,0.2150940799525875,0.21769162927515942,1.0,0.0,0.13478405327205234,0.9997012171540838,0.5870324835082726,True
0.3,0.0,0.30936157653246177,0.0,0.617595865063008,0.8440022346570197,0.3159528246146455,0.11357393531058758,0.37938398852043276,0.15448905507245322,0.0,1.0,0.424525511147853,0.9999603308805574,0.4820980227226445,True
0.0,0.08823529411764708,0.3080440126915098,1.0,0.4898726693285522,0.8784933090946035,0.0007797865426808292,0.8772899404011301,0.19283178707985552,0.1646645198290315,0.1,1.0,0.328281559542031,0.8247579932556721,0.5516997108567046,False
0.0,0.08823529411764708,0.5565336740709057,0.0622655663915979,0.6049059327843782,0.765508705203441,0.25500206542125675,0.08306850668058705,0.1909655746808135,0.24949263435726443,0.04,1.0,0.6079993188591715,0.862228461963986,0.5520091335935805,False
0.3,0.0,0.3697173801283187,0.0,0.3700563590515462,0.9268643648331915,0.4861147217056059,0.3572026499455894,0.04265937749063212,0.043188326032941676,0.0,1.0,0.2884760982258996,0.999960168386379,0.9104865959791844,True
0.1,0.411764705882353,0.4247657073698763,0.0622655663915979,0.7101352517897976,0.7407421084921333,0.09476118645071042,0.5786307731580006,0.6541716393182323,0.016567378143731538,0.0,1.0,0.5868625920191484,0.9999589001636453,0.40044060395488695,True
0.1,1.0,0.6725978468389782,0.24981245311327835,0.5958045973146242,0.4835454201487801,0.29579330187220526,0.9222261982667338,0.5691859595858867,0.05722282431953682,0.0,1.0,0.6914651428508369,0.9999678673468604,0.31195777453068385,True
0.0,0.08823529411764708,0.5127556116319116,0.0622655663915979,0.654364157240876,0.7568558257672819,0.04951195133319247,0.8708503476667463,0.060005662001376955,0.09234578195999067,0.04,1.0,0.6124065138585184,0.5101589108541307,0.7072578220083636,False
0.0,1.0,0.2420788396333542,1.0,0.47639559843835144,0.8575405742118156,0.4445199984190898,0.6613797770121581,0.4137383982490814,0.1229585844890809,0.04,0.0,0.2677172656203224,0.9996324567532184,0.3889366510406726,True
0.0,0.08823529411764708,0.6061470530603179,0.0,0.8755741628168763,0.5272549470874232,0.019340011238937176,0.8489811462412149,0.06405411249342,0.27763281265387657,0.1,0.0,0.8668102970098825,0.9997821366038295,0.8026105014185497,True
0.0,0.08823529411764708,0.5855748587965417,1.0,0.8120974143772473,0.7318306936486876,0.10300116895179799,0.4460144026567219,0.07025823101662682,0.11046864125872197,0.1,0.0,0.7972945014924209,0.999961353141199,0.7727702596404838,True
0.0,0.411764705882353,0.6051427239815403,0.0,0.5415010167389394,0.6192119810029989,0.03810083788254627,0.1174752525379055,0.1254052039259545,0.17284135684770793,0.02,1.0,0.5966078301397051,0.9016271462616996,0.6446696184012389,False
0.0,1.0,0.7309525100188976,0.0622655663915979,0.39628201794279594,0.5886968115354837,0.5233427332469422,0.9995356129310389,0.026747160645730444,0.5957709733158394,0.04,1.0,0.5822104461398965,0.9129552234697573,0.850320234807533,False
